index,Record ID,Account: AUM,Annual Revenue,CB 1st Priority,CB 2nd Priority,CB Industries,CB Industry Groups,CB Investment Stage,CB Investor Type,City,Company Domain Name,Company name,Company owner,Company Segment,Country/Region,Create Date,Crunchbase Company URL,CrunchBase URL,Data Source,Description,Industry,Is Public,LinkedIn Bio,LinkedIn Company Page,Merged Company IDs,Number of Associated Contacts,Number of Employees,Number of times contacted,Original Source Data 1,Original Source Data 2,Original Source Type,Parent Company,Phone Number,Postal Code,Segment- Comp,State/Region,Street Address,Street Address 2,Total Money Raised,Type,Web Technologies,Website URL,Year Founded
37,15764715818,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Ignite Venture Partners,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"Ignite Venture Partners provides capital and consulting services to the companies operating in the consumer internet, consumer products, retail, telecommunication, mobile, medical and healthcare sectors. The firm is based in Scottsdale, Arizona and was established in 2003.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
42,15764511296,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,InHouse Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"InHouse Ventures is a boutique investment fund that focuses on building and acquiring multi-generational, impact oriented brands. The firm is based in Healdsburg, California.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
43,15765056395,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Invest Illinois Venture Fund,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"Invest Illinois Venture Fund is a venture capital firm operated by Department of Commerce and Economic Opportunity, Government of Illinois. The firm seeks to invest in the agriculture, food, clean energy, information technology, biotechnology, manufacturing, medical devices, nanotechnology, telecommunications, transportation and logistics sectors.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
48,15765039218,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,iYa Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"iYa Ventures is a Community Development Venture Capital firm that is identifying, investing and advising startups with technology-based solutions in Sub-Saharan Africa. It is a member of the Community Development Venture Capital Association, which has over 20 years of promoting the use of the tools of venture capital to advance the livelihoods of low-income people and the economies of distressed communities.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
51,15764596760,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,IOC Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"IOC Ventures is a venture capital firm that focuses on supporting the earliest stage founders and their teams. It is based in Irvine, California.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
55,15764660581,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Kapyon Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"Kapyon Ventures, LLC is a San Diego based incubation firm focused on the development of technology spinouts from global research institutes. Kapyon's areas of focus include agricultural biotechnology, industrial biotechnology and cleantech. Kapyon works closely with both domestic and international research partners across New Zealand, Australia and Canada, and through these partnerships manages an investment portfolio of several biotechnology joint ventures.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,SALES,EMAIL_INTEGRATION,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
56,15764577359,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Johnson Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"Johnson Ventures is a venture capital and private equity firm based in Columbus, Indiana. The firm seeks opportunities for the acquisition of a business to hold for long term growth. It invests in companies operating in the business and consumer products and services sector.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
58,15765076911,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,KICventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"KICventures is a private equity and venture capital firm in the health technology sector that specializes in creating ecosystems for connecting patients and surgeons. Within the health technology sector, the firm focuses on the areas of healthcare services, consumer electronics, medical devices and consumer healthcare.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,34785046,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
61,15764715821,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,KBL Healthcare Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"KBL Healthcare Ventures is a venture capital firm which invests in start-up, early-Stage and emerging growth companies. The company targets the healthcare sectors which includes Biopharmaceuticals, Drug Discovery, Medical Devices and Health Care Services. The firm also considers investment in Information Technology. The firm is based in New York, New York and was founded in 1991.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
67,15764437097,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Kirlan Venture Capital,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"Kirlan Venture Capital (KVC) is a Seattle-based venture capital firm. The firm invested in early to mezzanine stage companies in the healthcare, life sciences, internet, software, communications, specialty retail, manufacturing and other technology sectors.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
69,15764678526,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Kolohala Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"Kolohala Ventures, founded in 2006, is an early-stage venture capital firm committed to investing in Hawaii companies. It believes that Hawaii is extremely well positioned to become the ""green lab of the Pacific."" Hawaii has strategic advantages in specific sectors: Renewable Energy, Life and Ocean, IT, Media/Film, and Kolohala is positioned to exploit these advantages. Hawaii's economy, environment, public policy, and investment community are converging to create a promising new hot spot for ""green"" investing.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
72,15764390246,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Kodak Venture Group,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,Kodak Ventures Group is a corporate venture capital investment arm of Eastman Kodak. The firm prefers to invest primarily in the wireless technology sector.,Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
73,15765065010,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Legacy Ventures International,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"Legacy Ventures International is an impact investor that focuses on acquisitions of proven and high-potential businesses across a variety of business sectors. The firm is based in Las Vegas, Nevada.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
74,15765056387,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Landrace Venture Fund,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
76,15764668995,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Leslie Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"Leslie Ventures is a venture capital firm. The firm is based in Portola Valley, California and was founded in 2001.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
77,15764437095,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Landmark Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"Landmark Ventures is a strategic and financial advisory firm offering a combination of venture development and global investment banking services, with a focus on serving growth oriented technology companies and their venture capital and private equity sponsors. Landmark offers years of experience providing services in the areas of mergers and acquisitions, private placements, business development, revenue and market development, direct investments and strategic advisory.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
80,15765076914,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Linn Grove Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"Linn Grove Ventures is a venture capital management firm based in Fargo, North Dakota. The firm makes strategic investments in early to mid-stage companies with outstanding growth capability. It was founded in 2010.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
85,15765086384,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Liquid Venture Partners,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"Liquid Venture Partners is a venture capital firm which specializes in seed, early stage and later stage investments. The firm is based in Marina del Rey, California.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
86,15764660575,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Lira Venture Capital,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"Lira Venture Capital is an angel investment firm supporting and financing start-ups and early-stage companies. The firm prefers investing in seed, angel, venture rounds and also provides micro loans of between $5,000 and $100,000. It also acts as an accelerator providing entrepreneurs with office space with furniture, office equipment and related services.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
87,15764587886,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Little Engine Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"Little Engine Ventures is a hybrid fund that is motivated to help customers, founders and investors prosper. The firm is based in Lafayette, Indiana.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
94,15765009930,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Maniv Bioventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"Maniv Bioventures was a venture capital firm founded in 1997. The firm made its investments in drug discovery, devices, biotechnology, pharmaceuticals and life sciences sectors.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
102,15764104256,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,McKenna Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"McKenna Ventures is a venture capital firm that specializes in investments, consulting, sponsorships and programs in a variety of industries. The firm invests in early stage businesses that operate in the food, beverage and technology sectors. It was established in 2009 and is based in Chicago, Illinois.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
103,15764715832,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,MDA Venture Philanthropy,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"MDA Venture Philanthropy (MVP) is the Muscular Dystrophy Association's drug development program, which operates within MDA's Translational Research program. MVP is exclusively focused on funding the discovery and clinical application of treatments and cures for neuromuscular diseases. Adapting elements of the venture capital model, the MVP business plan is characterized by an emphasis on measurable results along with deep involvement by its scientific and industry advisers. MVP evaluates and makes targeted investments in for-profit and not-for-profit companies and academics developing therapeutics for neuromuscular diseases. It is based in Chicago, Illinois.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
108,15765065012,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,MedScience Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"MedScience Ventures is a venture capital firm based in Boston, Massachusetts. The firm seeks to invest in the life science and medical technologies sectors. It seeks to partner with early stage companies to provide consulting services, obtain license rights in specific markets, and evaluate making equity investments.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
110,15764708410,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Meelia Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
112,15764548754,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,MedVenture Associates,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"MedVenture Associates is a venture capital firm that specializes in early stage investments. The firm seeks to invest in companies operating in medical devices, medical information technology, and pharmaceutical and biotechnology products. It was founded in 1986 and is based in Pleasanton, California.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
117,15764113041,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Metro Global Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"Metro Global Ventures is a private equity and venture capital firm based in Bala Cynwyd, Philadelphia. The firm seeks to invest in the business services, consulting, software, enterprise services, legal services and technology sectors.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
118,15765086388,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Miven Venture Partners,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"Miven Venture Partners is an Irvine, California based multi-stage venture capital firm. The firm is ardently focused on finding innovative entrepreneurs in China, India and the United States, concentrating mainly on information technology, consumer opportunities (devices, software, silicon, web), converged media and entertainment and wireless opportunities.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
120,15764715819,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Mobius Venture Capital,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,Mobius Venture Capital is an early stage venture capital fund that made investments from 1996 through 2006. The firm is no longer making new investments nor seeking new limited partners.,Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
121,15764678517,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Militia Hill Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"Militia Hill Ventures is a venture capital firm that creates and develops exceptional life sciences companies to bring new therapies, diagnostics and devices to patients in the Philadelphia region. The firm was founded in 2013 and is based in Philadelphia, Pennsylvania.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
123,15764548766,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Minor Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,Minor Ventures is a San Francisco based venture capital firm. The firm primarily seeks to invest in early-stage technology and media companies.,Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
129,15764678525,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Mount Royal Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,Mount Royal Ventures is a private investment firm that focuses on early stage companies.,Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
130,15764652630,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Neotribe Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"Neotribe Ventures is a venture capital firm founded with the vision of helping innovative, early stage technology startups realize their full potential. The firm invests in people, technologies and ideas that can be disruptive and transformational, but also provide mentorship and guidance based on a core set of business values, experience and trust.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
131,15764633936,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Mosaix Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,Mosaix Ventures is a venture capital firm investing in healthcare innovation and special situations. The firm prefers to invests in early- to mid-stage specialty or niche businesses and also medical devices and healthcare information technology & services sectors.,Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
135,15764485931,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Next Wave Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,Next Wave Ventures is an angel investing firm that focuses on increasing the participation of underrepresented groups in angel investing.,Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
136,15765086374,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Oceanshore Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"Oceanshore Ventures is a venture capital firm which invests in early stage private companies. The company focuses on the renewable energy, energy storage and energy efficiency based technologies sectors. It was founded n",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
141,15764714263,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Onondaga Venture Capital Fund,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"Onondaga Venture Capital Fund is a venture capital firm based in Syracuse, New York. The firm seeks to invest in the technology sectors.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
149,15764548767,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Pacific Community Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"Pacific Community Ventures is a growth equity fund which provides capital and resources to high growth California businesses operating in the specialty food products, ethnic products and services, health and wellness, manufacturing, and environmentally-friendly focused product sectors. It is based in San Francisco, California.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
158,15765026585,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Phoenix IP Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
